specId,setName,collectibleYear,collectibleSubject,auctionItemId,auctionHouse,imageUrl,listingType,dateOfSale,grade,salePrice,certNumber
3482237,Topps,2020,San Diego Padres,-512437129397056819,eBay,https://d1w8cc2yygc27j.cloudfront.net/-512437129397056819/285289738167103502.jpg,Auction,2022-02-24T02:31:40,10,10.59,57853891
3483042,Topps,2020,San Diego Padres,-5101087058884310571,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5101087058884310571/-4973816095243465647.jpg,Auction,2021-09-21T02:33:50,9,11.5,49620637
3633672,Topps,2020,San Diego Padres,-656196997933605921,eBay,https://d1w8cc2yygc27j.cloudfront.net/-656196997933605921/8332325847788583422.jpg,Auction,2024-04-22T01:27:27,10,9.99,51759309
3405581,Topps,2020,Trevor Story,1229464874001617882,eBay,https://d1w8cc2yygc27j.cloudfront.net/1229464874001617882/-2186407525131690667.jpg,Auction,2024-05-20T00:00:00,10,6.05,87464841
3405581,Topps,2020,Trevor Story,-136166243192804118,eBay,https://d1w8cc2yygc27j.cloudfront.net/-136166243192804118/-5086098594030911759.jpg,Auction,2024-04-22T00:03:30,10,8.28,87464841
3405581,Topps,2020,Trevor Story,-8413167764889711791,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8413167764889711791/3262829122159542458.jpg,Auction,2021-09-20T01:51:55,10,9.99,53425039
3479744,Topps,2020,Trevor Story,-3146857408014687806,eBay,https://d1w8cc2yygc27j.cloudfront.net/-3146857408014687806/7043274110213170913.jpg,Auction,2024-06-22T01:54:00,10,3.34,57965926
3479744,Topps,2020,Trevor Story,7461773890401587171,eBay,https://d1w8cc2yygc27j.cloudfront.net/7461773890401587171/8377027208968608521.jpg,Auction,2023-04-12T20:51:00,10,8.27,57965926
3479744,Topps,2020,Trevor Story,-8271988313913993829,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8271988313913993829/8377027208968608521.jpg,Auction,2023-03-14T02:30:00,10,5,57965926
3479751,Topps,2020,Teoscar Hernandez,-7637437683856977302,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7637437683856977302/7640726067630241286.jpg,Auction,2024-06-18T02:48:01,8,3.25,92101317
3403739,Topps,2020,Diego Castillo,-7625319963787209863,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7625319963787209863/504970141831509630.jpg,Best Offer,2020-10-22T03:59:20,9,14.99,46141598
3484929,Topps,2020,Arizona Diamondbacks,-8312517522719000590,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8312517522719000590/9126123336723876921.jpg,Auction,2024-05-24T00:15:01,8,3.25,82189118
3633692,Topps,2020,Zach Plesac,8361137758352257534,eBay,https://d1w8cc2yygc27j.cloudfront.net/8361137758352257534/-1680768439624711173.jpg,Auction,2023-09-06T00:11:01,9,3.31,67788569
3390860,Topps,2020,Tim Lopes,5395591466222382317,eBay,https://d1w8cc2yygc27j.cloudfront.net/5395591466222382317/5532956944007815030.jpg,Auction,2022-01-30T23:23:57,10,4.99,50749324
3390860,Topps,2020,Tim Lopes,-5769352139142907313,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5769352139142907313/9050770336544238946.jpg,Auction,2021-05-20T01:20:08,10,17.5,51396044
3407082,Topps,2020,Tim Lopes,-2267799377691326467,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2267799377691326467/133631484871918290.jpg,Auction,2024-04-17T23:00:00,10,22.15,48102823
3480613,Topps,2020,Howie Kendrick,-5436823401170659306,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5436823401170659306/4870198668158137814.jpg,Auction,2024-05-24T00:21:01,9,6.51,82189140
3478531,Topps,2020,Chad Wallach,903669268006150390,eBay,https://d1w8cc2yygc27j.cloudfront.net/903669268006150390/5429375664649176921.jpg,Auction,2021-08-15T02:29:17,9,7.5,51829867
3479764,Topps,2020,Chad Wallach,-1145309017724063470,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1145309017724063470/430540803287591718.jpg,Auction,2021-10-04T02:31:39,10,2.36,49462840
3484160,Topps,2020,Chad Wallach,-8560245136763063657,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8560245136763063657/9081353646880699273.jpg,Auction,2023-02-28T05:37:01,9,0.99,54105605
3487243,Topps,2020,Chad Wallach,-6932446120481011588,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6932446120481011588/8228388316128070269.jpg,Auction,2021-07-15T01:57:48,9,4,49820938
3405583,Topps,2020,Darryl Strawberry,1853674229431145131,eBay,https://d1w8cc2yygc27j.cloudfront.net/1853674229431145131/132083424030365833.jpg,Auction,2022-01-23T01:08:16,9,21.85,51862238
3405583,Topps,2020,Darryl Strawberry,1910917546389262494,eBay,https://d1w8cc2yygc27j.cloudfront.net/1910917546389262494/6810919094318346798.jpg,Auction,2021-07-26T01:21:24,9,20.5,50166396
3390817,Topps,2020,Justin Dunn,4697239524576414438,eBay,https://d1w8cc2yygc27j.cloudfront.net/4697239524576414438/6699484771944720409.jpg,Auction,2021-12-30T03:40:13,10,7.48,54958032
3390817,Topps,2020,Justin Dunn,-8551587023289270150,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8551587023289270150/718756343438174669.jpg,Auction,2021-12-27T02:59:34,9,0.99,54958030
3390817,Topps,2020,Justin Dunn,6770170007001170293,eBay,https://d1w8cc2yygc27j.cloudfront.net/6770170007001170293/4957508413783868717.jpg,Auction,2021-11-13T00:31:33,10,10.56,51312473
3390817,Topps,2020,Justin Dunn,7003212756859789093,eBay,https://d1w8cc2yygc27j.cloudfront.net/7003212756859789093/4312493105532229489.jpg,Auction,2021-09-08T04:45:48,10,5.5,51612871
3405584,Topps,2020,Justin Dunn,5176959755275398244,eBay,https://d1w8cc2yygc27j.cloudfront.net/5176959755275398244/574235745417646983.jpg,Auction,2021-11-23T13:21:16,9,3.99,51661483
3405584,Topps,2020,Justin Dunn,-2955072336628675465,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2955072336628675465/3026908392997685522.jpg,Auction,2021-10-04T02:33:49,9,0.99,49462837
3405584,Topps,2020,Justin Dunn,4250109196617630530,eBay,https://d1w8cc2yygc27j.cloudfront.net/4250109196617630530/5170936592014036507.jpg,Auction,2021-10-04T02:32:46,9,3.25,49462817
3480620,Topps,2020,Justin Dunn,-7255273446285911351,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7255273446285911351/-8841710486889402993.jpg,Auction,2024-05-24T00:22:01,9,5.69,82189141
3484939,Topps,2020,Justin Dunn,-8107875433107434492,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8107875433107434492/8694260392870865493.jpg,Auction,2023-01-08T04:30:01,9,4.99,50408933
3484939,Topps,2020,Justin Dunn,-4395050605590874392,eBay,https://d1w8cc2yygc27j.cloudfront.net/-4395050605590874392/1675758077739123816.jpg,Auction,2021-06-09T01:12:01,9,16.94,50408933
3633700,Topps,2020,Justin Dunn,-8756702169963102237,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8756702169963102237/1037502650311599313.jpg,Auction,2021-06-18T00:08:53,10,34.77,51396053
3633700,Topps,2020,Justin Dunn,-6689478280541918370,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6689478280541918370/6828927403162789551.jpg,Auction,2021-05-20T00:55:33,10,51,51396053
3484942,Topps,2020,Yonny Chirinos,5191532814037265298,eBay,https://d1w8cc2yygc27j.cloudfront.net/5191532814037265298/-7453883753252304974.jpg,Auction,2024-06-07T19:32:10,8,5,82189119
3484942,Topps,2020,Yonny Chirinos,-2246022743300859221,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2246022743300859221/2741919537893458560.jpg,Auction,2024-05-24T00:16:01,8,3.25,82189119
3405585,Topps,2020,Willson Contreras,-5461134098992945164,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5461134098992945164/9055104576347005269.jpg,Auction,2024-10-16T02:12:00,10,9,50263634
3405585,Topps,2020,Willson Contreras,6910776782403698334,eBay,https://d1w8cc2yygc27j.cloudfront.net/6910776782403698334/-7586303317348730209.jpg,Auction,2024-04-22T00:04:00,10,16.37,87464840
3338605,Topps,2020,Luis Severino,-6833011713294237680,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6833011713294237680/7413239035142858558.jpg,Auction,2023-07-05T01:30:29,9,1,50466365
3338605,Topps,2020,Luis Severino,5502271914237666420,eBay,https://d1w8cc2yygc27j.cloudfront.net/5502271914237666420/-8404257454256341144.jpg,Auction,2020-08-19T23:59:34,9,6.5,47835236
3390827,Topps,2020,Ryan Mcbroom,-4748875172004154658,eBay,https://d1w8cc2yygc27j.cloudfront.net/-4748875172004154658/969815365436515293.jpg,Auction,2022-01-29T00:17:40,9,3.25,51663644
3390827,Topps,2020,Ryan Mcbroom,6764537558063873089,eBay,https://d1w8cc2yygc27j.cloudfront.net/6764537558063873089/-3310620614256900900.jpg,Auction,2021-12-15T19:59:02,9,2.5,51663639
3390827,Topps,2020,Ryan Mcbroom,-418304720667239812,eBay,https://d1w8cc2yygc27j.cloudfront.net/-418304720667239812/2697973637501909162.jpg,Auction,2021-11-23T13:21:16,10,5.5,51663638
